DAGSETNING;HEFST;;ENDAR;NAMSGREIN;HEITI;HOPUR;STOFA;NAFN STOFU;BYGGING
10.04.2018;09:00;;12:00;V-625-REII;Rekstrarhagfræði II, Viðskiptafræði - fjarnám;;M201;Hefðbundin kennslustofa;2. hæð
12.04.2018;14:00;;17:00;V-303-TOL1;Hagnýt tölfræði I, Viðskiptafræði;;M201;Hefðbundin kennslustofa;2. hæð
12.04.2018;14:00;;17:00;V-512-ATFE;Atferlisfjármál, Viðskiptafræði - staðarnám;;M110;Kennslustofa;Mars, fyrsta hæð
13.04.2018;09:00;;12:00;E-214-DEPS;Þroskasálfræði, BSc-nám í sálfræði;;M101;Fyrirlestrarsalur;Mars, fyrsta hæð
13.04.2018;14:00;;17:00;E-314-LISA;Lífeðlisfræðileg sálfræði, BSc-nám í sálfræði;;V108;Kennslustofa;Venus, fyrsta hæð (V.1.03=2.1.0)
13.04.2018;14:00;;17:00;V-221-LAEC;Vinnumarkaðshagfræði, Hagfræði 2.ár;;M208;Málstofa;Mars, önnur hæð
13.04.2018;14:00;;17:00;V-401-LOG;Viðskiptalögfræði, Viðskiptafræði - staðarnám;;M101;Fyrirlestrarsalur;Mars, fyrsta hæð
16.04.2018;09:00;;12:00;V-203-STJ1;Stjórnun, Viðskiptafræði - staðarnám;;M201;Hefðbundin kennslustofa;2. hæð
16.04.2018;14:00;;17:00;E-601-HUTA;Hugræn taugavísindi, BSc-nám í sálfræði;;V108;Kennslustofa;Venus, fyrsta hæð (V.1.03=2.1.0)
16.04.2018;14:00;;17:00;V-311-OPMA;Rekstrarstjórnun, Haftengd nýsköpun;;M106;Kennslustofa;Mars, fyrsta hæð
16.04.2018;14:00;;17:00;V-311-OPMA;Rekstrarstjórnun, Viðskiptafræði - fjarnám;;V102;Málstofa;Venus, 1sta hæð
16.04.2018;14:00;;17:00;V-311-OPMA;Rekstrarstjórnun, Viðskiptafræði - staðarnám;;M101;Fyrirlestrarsalur;Mars, fyrsta hæð
17.04.2018;09:00;;12:00;E-215-HSKY;Hugræn sálfræði og skynjunarsálfræði, BSc-nám í sálfræði;;M101;Fyrirlestrarsalur;Mars, fyrsta hæð
17.04.2018;09:00;;12:00;V-321-INEC;Alþjóðahagfræði, Hagfræði 2.ár;;V206;Kennslustofa;2. hæð Venus
18.04.2018;09:00;;12:00;E-411-RATO;Rannsóknaraðferðir og tölfræði III, BSc-nám í sálfræði;;M201;Hefðbundin kennslustofa;2. hæð
18.04.2018;09:00;;12:00;V-304-FMAR;Fjármálamarkaðir, Viðskiptafræði - fjarnám;;V206;Kennslustofa;2. hæð Venus
18.04.2018;09:00;;12:00;V-304-FMAR;Fjármálamarkaðir, Viðskiptafræði - staðarnám;;M209;Málstofa;Mars, önnur hæð
18.04.2018;14:00;;17:00;V-601-EIGN;Eignastýring, Viðskipta- og hagfræði - staðarnám;;M201;Hefðbundin kennslustofa;2. hæð
20.04.2018;09:00;;12:00;V-202-REGR;Rekstrargreining, Haftengd nýsköpun;;M106;Kennslustofa;Mars, fyrsta hæð
